Gene,B cells,Cytotoxic T cells,CD4 T cells,Tfh,other
RP5-884C9.2,1,1,1,1,1
LINC01343,1,1,1,1,1
RP11-329N22.1,1,1,1,1,1
RRAGC,1,1,1,1,1
RP5-864K19.4,1,1,1,1,1
MYCBP,1,1,1,1,1
RP5-864K19.6,1,1,1,1,1
GJA9,1,1,1,1,1
RHBDL2,1,1,1,1,1
AKIRIN1,1,1,1,1,1
NDUFS5,1,1,1,1,1
MACF1,1,1,1,1,1
RP11-420K8.1,1,1,1,1,1
BMP8A,1,1,1,1,1
RP11-69E11.4,1,1,1,1,1
PABPC4,1,1,1,1,1
RP11-69E11.8,1,1,1,1,1
HEYL,1,1,1,1,1
RP1-144F13.3,1,1,1,1,1
NT5C1A,1,1,1,1,1
HPCAL4,1,1,1,1,1
PPIE,1,1,1,1,1
BMP8B,1,1,1,1,1
OXCT2,1,1,1,1,1
RP1-118J21.25,1,1,1,1,1
