Symbol,ID,is_feature_control,is_feature_control_mitochondrial,is_feature_control_ribosomal,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
RP11-53O19.2,ENSG00000248779,0,0,0,0.0,0.0,0,100.0,0.0,0.0
MRPS30,ENSG00000112996,0,0,0,0.14014763174082429,0.0569610894936786,1225,87.44104982571253,1367.0,3.1360860973840974
RP11-53O19.3,ENSG00000272335,0,0,0,0.004818535985236826,0.0020876379395523164,47,99.51814640147632,47.0,1.6812412373755872
RP11-357F12.1,ENSG00000248148,0,0,0,0.0,0.0,0,100.0,0.0,0.0
HCN1,ENSG00000164588,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2013M15.1,ENSG00000250122,0,0,0,0.0,0.0,0,100.0,0.0,0.0
EMB,ENSG00000170571,0,0,0,0.5572072995694074,0.19234643085095587,3597,63.12282140660241,5435.0,3.7352794480604565
RP11-269M20.3,ENSG00000271752,0,0,0,0.0009226983801517326,0.0004005380554576629,9,99.90773016198483,9.0,1.0
PARP8,ENSG00000151883,0,0,0,0.12230879639122412,0.05011236682876321,1043,89.3069509944638,1193.0,3.0770043267933502
RP11-317O24.1,ENSG00000249405,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-317O24.2,ENSG00000251601,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2089N3.1,ENSG00000250360,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2089N3.2,ENSG00000251573,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2089N3.3,ENSG00000248918,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2314G24.2,ENSG00000259663,0,0,0,0.0,0.0,0,100.0,0.0,0.0
ISL1,ENSG00000016082,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2335O3.3,ENSG00000251125,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2203A3.1,ENSG00000248789,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2288O8.1,ENSG00000248898,0,0,0,0.0,0.0,0,100.0,0.0,0.0
ITGA1,ENSG00000213949,0,0,0,0.003075661267172442,0.0013336927726815553,25,99.7436948944023,30.0,1.4913616938342726
PELO,ENSG00000152684,0,0,0,0.02942382612261636,0.012594215821892022,282,97.1088784088579,287.0,2.459392487759231
CTD-2175A23.1,ENSG00000249899,0,0,0,0.0,0.0,0,100.0,0.0,0.0
ITGA2,ENSG00000164171,0,0,0,0.0011277424646298955,0.0004894963683256573,11,99.88722575353701,11.0,1.0791812460476249
CTD-2366F13.2,ENSG00000272123,0,0,0,0.00030756612671724423,0.00013355373440395,3,99.96924338732828,3.0,0.6020599913279624
MOCS2,ENSG00000164172,0,0,0,0.0700225548492926,0.029392932211703835,622,93.62312897272915,683.0,2.835056101720116
CTD-2366F13.1,ENSG00000247796,0,0,0,0.015480828378101292,0.006671728619018386,144,98.52368259175724,151.0,2.1818435879447726
FST,ENSG00000134363,0,0,0,0.07074020914496616,0.029684111895359338,449,95.39676030346524,690.0,2.8394780473741985
NDUFS4,ENSG00000164258,0,0,0,0.2898298134098831,0.11053241109547611,2256,76.87102727086324,2827.0,3.4514794051248616
CTD-2081C10.1,ENSG00000250447,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2081C10.7,ENSG00000272416,0,0,0,0.000512610211195407,0.00022256674596849525,5,99.94873897888046,5.0,0.7781512503836436
ARL15,ENSG00000185305,0,0,0,0.015173262251384047,0.006540170739917751,144,98.52368259175724,148.0,2.173186268412274
LINC01033,ENSG00000249069,0,0,0,0.0,0.0,0,100.0,0.0,0.0
HSPB3,ENSG00000169271,0,0,0,0.0,0.0,0,100.0,0.0,0.0
SNX18,ENSG00000178996,0,0,0,0.052901373795366004,0.022387692341730703,488,94.99692433873282,516.0,2.7134905430939424
RP11-45H22.3,ENSG00000249016,0,0,0,0.0,0.0,0,100.0,0.0,0.0
ESM1,ENSG00000164283,0,0,0,0.0,0.0,0,100.0,0.0,0.0
GZMK,ENSG00000113088,0,0,0,0.20278859954890302,0.08018930305296698,448,95.40701250768915,1978.0,3.296445794206396
CTD-2313F11.2,ENSG00000251376,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2313F11.3,ENSG00000248029,0,0,0,0.0,0.0,0,100.0,0.0,0.0
GZMA,ENSG00000145649,0,0,0,0.12230879639122412,0.05011236682876321,334,96.57576378921469,1193.0,3.0770043267933502
CDC20B,ENSG00000164287,0,0,0,0.0001025220422390814,4.4522474989331306e-05,1,99.9897477957761,1.0,0.3010299956639812
GPX8,ENSG00000164294,0,0,0,0.0,0.0,0,100.0,0.0,0.0
MCIDAS,ENSG00000234602,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CCNO,ENSG00000152669,0,0,0,0.0031781833094115235,0.0013780787384724596,28,99.71293828173057,31.0,1.505149978319906
